Dataset,PublishTime,StartTime,SettlementDate,SettlementPeriod,FuelType,Generation
FUELHH,2026-06-10T12:30:00Z,2026-06-10T12:00:00Z,2026-06-10,27,INTNSL,1398
FUELHH,2026-06-10T12:30:00Z,2026-06-10T12:00:00Z,2026-06-10,27,INTVKL,1426
FUELHH,2026-06-10T12:30:00Z,2026-06-10T12:00:00Z,2026-06-10,27,NPSHYD,204
FUELHH,2026-06-10T12:30:00Z,2026-06-10T12:00:00Z,2026-06-10,27,NUCLEAR,2972
FUELHH,2026-06-10T12:30:00Z,2026-06-10T12:00:00Z,2026-06-10,27,OCGT,2
FUELHH,2026-06-10T12:30:00Z,2026-06-10T12:00:00Z,2026-06-10,27,OIL,0
FUELHH,2026-06-10T12:30:00Z,2026-06-10T12:00:00Z,2026-06-10,27,OTHER,495
FUELHH,2026-06-10T12:30:00Z,2026-06-10T12:00:00Z,2026-06-10,27,PS,-108
FUELHH,2026-06-10T12:30:00Z,2026-06-10T12:00:00Z,2026-06-10,27,WIND,4650
FUELHH,2026-06-10T12:00:00Z,2026-06-10T11:30:00Z,2026-06-10,26,BIOMASS,2412
FUELHH,2026-06-10T12:00:00Z,2026-06-10T11:30:00Z,2026-06-10,26,CCGT,6110
FUELHH,2026-06-10T12:00:00Z,2026-06-10T11:30:00Z,2026-06-10,26,COAL,0
FUELHH,2026-06-10T12:00:00Z,2026-06-10T11:30:00Z,2026-06-10,26,INTELEC,998
FUELHH,2026-06-10T12:00:00Z,2026-06-10T11:30:00Z,2026-06-10,26,INTEW,0
FUELHH,2026-06-10T12:00:00Z,2026-06-10T11:30:00Z,2026-06-10,26,INTFR,1504
FUELHH,2026-06-10T12:00:00Z,2026-06-10T11:30:00Z,2026-06-10,26,INTGRNL,-514
FUELHH,2026-06-10T12:00:00Z,2026-06-10T11:30:00Z,2026-06-10,26,INTIFA2,-2
FUELHH,2026-06-10T12:00:00Z,2026-06-10T11:30:00Z,2026-06-10,26,INTIRL,-370
FUELHH,2026-06-10T12:00:00Z,2026-06-10T11:30:00Z,2026-06-10,26,INTNED,774
FUELHH,2026-06-10T12:00:00Z,2026-06-10T11:30:00Z,2026-06-10,26,INTNEM,720
FUELHH,2026-06-10T12:00:00Z,2026-06-10T11:30:00Z,2026-06-10,26,INTNSL,1398
FUELHH,2026-06-10T12:00:00Z,2026-06-10T11:30:00Z,2026-06-10,26,INTVKL,1426
FUELHH,2026-06-10T12:00:00Z,2026-06-10T11:30:00Z,2026-06-10,26,NPSHYD,227
FUELHH,2026-06-10T12:00:00Z,2026-06-10T11:30:00Z,2026-06-10,26,NUCLEAR,2975
FUELHH,2026-06-10T12:00:00Z,2026-06-10T11:30:00Z,2026-06-10,26,OCGT,2
FUELHH,2026-06-10T12:00:00Z,2026-06-10T11:30:00Z,2026-06-10,26,OIL,0
FUELHH,2026-06-10T12:00:00Z,2026-06-10T11:30:00Z,2026-06-10,26,OTHER,627
FUELHH,2026-06-10T12:00:00Z,2026-06-10T11:30:00Z,2026-06-10,26,PS,-14
FUELHH,2026-06-10T12:00:00Z,2026-06-10T11:30:00Z,2026-06-10,26,WIND,4506
FUELHH,2026-06-10T11:30:00Z,2026-06-10T11:00:00Z,2026-06-10,25,BIOMASS,2413
